timezone,temp,humidity,weather
25-02-20 13:31:59,-5.24,50,clear sky
25-02-20 13:41:44,-5.24,50,clear sky
25-02-20 13:49:59,-5.24,50,clear sky
25-02-20 13:58:11,-5.24,50,clear sky
25-02-20 14:18:50,-3.64,38,clear sky
25-02-20 14:35:46,-5.24,54,clear sky
25-02-20 14:44:53,-5.24,54,clear sky
25-02-20 14:53:19,-5.24,54,clear sky
25-02-20 15:10:21,-5.24,54,clear sky
25-02-20 15:30:16,-6.24,58,clear sky
25-02-20 15:42:11,-6.24,58,clear sky
25-02-20 15:50:51,-6.24,58,clear sky
25-02-20 15:58:59,-6.24,58,clear sky
25-02-20 16:28:05,-7.24,63,clear sky
25-02-20 16:45:47,-7.24,63,clear sky
25-02-20 16:54:54,-7.24,63,clear sky
25-02-20 17:11:23,-7.24,63,clear sky
25-02-20 17:27:28,-6.24,63,clear sky
25-02-20 17:37:44,-6.24,63,clear sky
25-02-20 17:46:15,-6.24,63,clear sky
25-02-20 17:54:44,-6.24,63,clear sky
25-02-20 18:17:03,-3.97,41,clear sky
25-02-20 18:39:26,-7.24,63,clear sky
25-02-20 18:49:58,-7.24,63,clear sky
25-02-20 18:58:09,-7.24,63,clear sky
25-02-20 19:15:27,-4.01,42,clear sky
25-02-20 19:24:35,-9.24,62,clear sky
25-02-20 19:34:35,-9.24,62,clear sky
25-02-20 19:43:12,-9.24,62,clear sky
25-02-20 19:51:37,-9.24,62,clear sky
25-02-20 19:59:50,-9.24,62,clear sky
25-02-20 20:24:50,-4.13,43,clear sky
25-02-20 20:36:40,-9.24,73,clear sky
25-02-20 20:45:17,-9.24,73,clear sky
25-02-20 21:08:37,-9.24,73,clear sky
25-02-20 21:24:11,-10.24,79,clear sky
25-02-20 21:33:36,-10.24,79,clear sky
25-02-20 21:42:00,-10.24,79,clear sky
25-02-20 21:50:13,-10.24,79,clear sky
25-02-20 21:58:23,-10.24,79,clear sky
25-02-20 22:18:26,-4.45,46,clear sky
25-02-20 22:33:35,-10.24,85,clear sky
25-02-20 22:42:14,-10.24,85,clear sky
25-02-20 22:50:34,-10.24,85,clear sky
25-02-20 22:59:02,-10.24,85,clear sky
25-02-20 23:20:06,-4.48,47,clear sky
25-02-20 23:30:27,-7.24,73,clear sky
25-02-20 23:39:39,-7.24,73,clear sky
25-02-20 23:48:25,-7.24,73,clear sky
25-02-20 23:56:43,-7.24,73,clear sky
25-02-21 01:15:40,-3.24,59,clear sky
25-02-21 02:30:42,-0.24,32,clear sky
25-02-21 03:02:38,-0.24,32,clear sky
25-02-21 03:29:16,0.76,32,clear sky
25-02-21 03:42:29,0.76,32,clear sky
25-02-21 03:50:42,0.76,32,clear sky
25-02-21 03:59:01,0.76,32,clear sky
25-02-21 04:26:29,0.76,32,clear sky
25-02-21 04:43:15,0.76,32,clear sky
25-02-21 04:51:36,0.76,32,clear sky
25-02-21 05:00:00,0.76,32,clear sky
25-02-21 05:22:05,-0.26,28,clear sky
25-02-21 05:35:00,0.76,32,clear sky
25-02-21 05:43:26,0.76,32,clear sky
25-02-21 05:52:04,0.76,32,clear sky
25-02-21 06:10:21,0.76,32,clear sky
25-02-21 06:35:19,0.76,37,clear sky
25-02-21 06:47:27,0.76,37,clear sky
25-02-21 06:56:01,0.76,37,clear sky
25-02-21 07:14:35,0.76,37,clear sky
25-02-21 07:27:24,0.76,40,clear sky
25-02-21 07:36:31,0.76,40,clear sky
